horizon,model,n_cells,ct_r2_oos,dir_acc,dir_coverage,mae,mse_ratio,n_beat_rw
1,htboost_t,25,-0.0012918726963676802,0.4899098866432599,1.0,0.025321007459539267,1.0012918726963513,10
1,htboost_l2,25,-0.00928870344509487,0.4884397302875951,1.0,0.02543620704179713,1.0092887034450961,9
1,xgboost,25,-0.03391364063404016,0.49084336038143594,1.0,0.025778353778141194,1.0339136406340168,5
1,OLS,25,-5.554008238978541,0.48808265757193303,1.0,0.05545690916032577,6.554008238978701,0
1,ElasticNet,25,-0.0010500719197631975,0.4717985529680305,1.0,0.025305865051913602,1.0010500719197335,13
1,momentum,25,0.0005150744189414762,0.48150739167432927,1.0,0.024585241915888813,0.9994849255810513,8
1,mean_reversion,25,-0.008952190790301713,0.4251865354889774,0.92,0.024722657677858386,1.0089521907903027,6
5,htboost_t,25,-0.0027508506008894003,0.4937631516774912,1.0,0.045089880961495264,1.0027508506008953,12
5,htboost_l2,25,-0.016793361663165248,0.4751960809574141,1.0,0.045665963858303106,1.0167933616631788,7
5,xgboost,25,-0.049259278833462,0.4899673228538861,1.0,0.046160008910523305,1.0492592788334685,3
5,OLS,25,-8.452302162619246,0.4699650774160482,1.0,0.11889423712668805,9.452302162619665,0
5,ElasticNet,25,-0.003145484189024084,0.4801315749761009,1.0,0.04513285697328108,1.0031454841890304,12
5,momentum,25,-0.005679910094727232,0.5017037684659005,1.0,0.06165841810249968,1.0056799100947271,10
5,mean_reversion,25,-0.040492896022420094,0.45169632988546415,0.96,0.0630971142934725,1.04049289602242,9
21,htboost_t,25,-0.03120389299927549,0.5070365926381364,1.0,0.11356103585590066,1.0312038929992768,9
21,htboost_l2,25,-0.05976729813577226,0.4944567716863968,1.0,0.1147638013965598,1.059767298135774,9
21,xgboost,25,-0.07996346046516381,0.47312287658196633,1.0,0.11636984822230055,1.0799634604651651,3
21,OLS,25,-16.697446385371876,0.48431245886133917,1.0,0.3918049911955317,17.69744638537209,0
21,ElasticNet,25,-0.02635849367200228,0.49584381379830345,1.0,0.11378223004505114,1.0263584936720032,11
21,momentum,25,-0.025659655087859133,0.5241922169953392,1.0,0.13582866325890544,1.025659655087859,12
21,mean_reversion,25,-0.16158723914460305,0.4703144009333602,1.0,0.14566556539499323,1.1615872391446034,10
63,htboost_t,25,-0.14752331445501476,0.4748758052951743,1.0,0.2167012228529248,1.1475233144550154,0
63,htboost_l2,25,-0.22185707485668324,0.45727105777754873,1.0,0.22552945212147155,1.221857074856684,2
63,xgboost,25,-0.2009946512604916,0.4800157184499303,1.0,0.22204420669498032,1.2009946512604923,4
63,OLS,25,-23.834586480321306,0.4856353538789398,1.0,0.9148578682117838,24.83458648032136,0
63,ElasticNet,25,-0.042900566855344636,0.49876664396347536,1.0,0.20775977036204754,1.042900566855345,8
63,momentum,25,-0.1180888871227298,0.5054247546774626,1.0,0.2687382174915633,1.1180888871227301,8
63,mean_reversion,25,-0.3665319896449066,0.3666913079256713,0.88,0.2968837581175682,1.3665319896449066,6
126,htboost_t,25,-0.09411506520796714,0.4555768536314259,1.0,0.3342270622613876,1.094115065207967,8
126,htboost_l2,25,-0.31050231426552966,0.41948286075275015,1.0,0.36034521313223683,1.3105023142655299,6
126,xgboost,25,-0.2041540725888608,0.500587332831663,1.0,0.3505591125698598,1.204154072588861,9
126,OLS,25,-22.157479375934113,0.5100997381332684,1.0,1.4025562549711421,23.157479375934116,0
126,ElasticNet,25,-0.19630961603481495,0.47197187403242225,1.0,0.34601814682001014,1.196309616034815,8
126,momentum,25,-0.22307533263313445,0.49143594147202274,1.0,0.4282423293331352,1.2230753326331345,10
126,mean_reversion,25,-0.48404426567505476,0.28943441360318095,0.76,0.45607861410213546,1.4840442656750548,4
252,htboost_t,20,-0.07496562988656393,0.466929723931275,1.0,0.5084413631322775,1.074965629886564,9
252,htboost_l2,20,-0.14262021153395482,0.4819413462265805,1.0,0.5339311465380792,1.142620211533955,10
252,xgboost,20,-0.19544147530987305,0.5035776058030408,1.0,0.5307795898094992,1.1954414753098732,8
252,OLS,20,-17.526661529178025,0.5305415793610802,1.0,1.6647680788308286,18.526661529178032,0
252,ElasticNet,20,-0.3149856848957075,0.45408918204676507,1.0,0.5487698197610265,1.3149856848957078,1
252,momentum,20,-0.5140183978294935,0.4009565925528843,1.0,0.731405546901961,1.5140183978294937,7
252,mean_reversion,20,-0.5201767611888811,0.32021139894289696,0.8,0.7019870274057719,1.5201767611888812,5
