regime,model,n_cells,ct_r2_oos,dir_acc,dir_coverage,mae,mse_ratio,n_beat_rw,horizons_used
ZIRP_early,htboost_t,30,-0.07273362177626636,0.5394673693452624,1.0,0.1684670436232441,1.0727336217762684,17,"1,5,21,63,126,252"
ZIRP_late,htboost_t,30,-0.04027182540252581,0.5229907613261869,1.0,0.15161748151870227,1.0402718254025207,11,"1,5,21,63,126,252"
Hiking,htboost_t,30,-0.10722809196252893,0.4169269072133278,1.0,0.2381679385090413,1.107228091962528,4,"1,5,21,63,126,252"
GFC,htboost_t,25,-0.04347685797079953,0.5165140127750817,1.0,0.13643130241712106,1.0434768579707987,7,"1,5,21,63,126"
COVID,htboost_t,30,-0.024250329106984013,0.4191083423280778,1.0,0.2794325342489694,1.0242503291069815,9,"1,5,21,63,126,252"
ZIRP_early,htboost_l2,30,-0.061539904106775276,0.5191205977309296,1.0,0.16586830748651443,1.0615399041067723,12,"1,5,21,63,126,252"
ZIRP_late,htboost_l2,30,-0.022538355717108167,0.5068423260198486,1.0,0.1470758226242583,1.02253835571712,11,"1,5,21,63,126,252"
Hiking,htboost_l2,30,-0.2170386959637569,0.4148125904189061,1.0,0.2713625743904929,1.2170386959637585,3,"1,5,21,63,126,252"
GFC,htboost_l2,25,-0.3258442794801645,0.46321970118570627,1.0,0.16158641442680768,1.3258442794801681,3,"1,5,21,63,126"
COVID,htboost_l2,30,-0.037600245973396826,0.44020771687803506,1.0,0.28010924579375457,1.0376002459733982,14,"1,5,21,63,126,252"
ZIRP_early,xgboost,30,0.009127695309889945,0.5603891853745521,1.0,0.15736880675722628,0.9908723046901106,16,"1,5,21,63,126,252"
ZIRP_late,xgboost,30,-0.11046572643594403,0.5056679953451542,1.0,0.1518221535167282,1.1104657264359332,9,"1,5,21,63,126,252"
Hiking,xgboost,30,-0.32168257085907964,0.40565438309474183,1.0,0.2769657743344693,1.321682570859079,0,"1,5,21,63,126,252"
GFC,xgboost,30,-0.365356849193776,0.4668147571535862,1.0,0.23861377228279057,1.365356849193777,5,"1,5,21,63,126,252"
COVID,xgboost,30,-0.13282272342214052,0.46643688960445734,1.0,0.285087255256894,1.132822723422138,2,"1,5,21,63,126,252"
ZIRP_early,OLS,30,-10.880455383364453,0.5164870927715893,1.0,0.38098375935100176,11.880455383364543,0,"1,5,21,63,126,252"
ZIRP_late,OLS,30,-13.93674308243654,0.5234853935490491,1.0,0.42210853066865023,14.936743082436992,0,"1,5,21,63,126,252"
Hiking,OLS,30,-23.369854954538777,0.39898540421412076,1.0,1.4788650173129307,24.36985495453879,0,"1,5,21,63,126,252"
GFC,OLS,30,-21.528707358470978,0.5546154146381234,1.0,0.7259035344897835,22.528707358471063,0,"1,5,21,63,126,252"
COVID,OLS,30,-7.076702178117083,0.4735944882254407,1.0,0.6699986804491979,8.076702178117149,0,"1,5,21,63,126,252"
ZIRP_early,ElasticNet,30,-0.06471341382830118,0.5477120132791367,1.0,0.17602700342871674,1.064713413828298,19,"1,5,21,63,126,252"
ZIRP_late,ElasticNet,30,-0.13496226283784046,0.49721336736166755,1.0,0.16324217218982948,1.134962262837825,5,"1,5,21,63,126,252"
Hiking,ElasticNet,30,-0.11785950130396143,0.3953725868796784,1.0,0.23792103594714115,1.1178595013039632,4,"1,5,21,63,126,252"
GFC,ElasticNet,30,-1.5734489580450213,0.5068823808904868,1.0,0.3185405922484569,2.5734489580450206,14,"1,5,21,63,126,252"
COVID,ElasticNet,30,-0.060111198264253464,0.42425905071606773,1.0,0.28726860322824127,1.0601111982642528,11,"1,5,21,63,126,252"
ZIRP_early,momentum,30,-0.022984294385546538,0.5938379023687733,1.0,0.19316448863198257,1.0229842943855392,24,"1,5,21,63,126,252"
ZIRP_late,momentum,30,-0.12498209498094213,0.510317459789,1.0,0.21485898850495952,1.1249820949809377,4,"1,5,21,63,126,252"
Hiking,momentum,30,-0.422316100127795,0.4103287133459759,1.0,0.33904339113025134,1.4223161001277946,0,"1,5,21,63,126,252"
GFC,momentum,30,0.029312999760518068,0.5635963292339348,1.0,0.2088557684285159,0.970687000239482,17,"1,5,21,63,126,252"
COVID,momentum,30,-0.06820408480261604,0.4032707523187157,1.0,0.36500912891403353,1.068204084802622,15,"1,5,21,63,126,252"
ZIRP_early,mean_reversion,30,-0.38621728497720237,0.3884744182990545,0.8333333333333334,0.2684461061285276,1.3862172849772039,8,"1,5,21,63,126,252"
ZIRP_late,mean_reversion,30,-0.014142718564625564,0.33558306478940825,0.6666666666666666,0.17760490187829175,1.014142718564625,7,"1,5,21,63,126,252"
Hiking,mean_reversion,30,-0.1372624837797275,0.36869525433116573,1.0,0.2879201359104962,1.1372624837797263,0,"1,5,21,63,126,252"
GFC,mean_reversion,30,-1.0680073684253992,0.3513093267827742,0.9,0.3843561668330348,2.0680073684253975,3,"1,5,21,63,126,252"
COVID,mean_reversion,30,0.0036074514862675777,0.46473136282498095,1.0,0.3268988212818033,0.9963925485137357,22,"1,5,21,63,126,252"
