tenor,model,n_cells,ct_r2_oos,dir_acc,dir_coverage,mae,mse_ratio,n_beat_rw
1Y,htboost_t,29,-0.08795588328422092,0.5046392565310908,1.0,0.1875432706364407,1.0879558832842207,11
5Y,htboost_t,29,-0.038491371408650395,0.47219765175171063,1.0,0.20962651905659682,1.0384913714086446,10
10Y,htboost_t,29,-0.04722153301774736,0.4756747297108641,1.0,0.20166681112948642,1.047221533017748,8
15Y,htboost_t,29,-0.048050325918881795,0.4815556373186894,1.0,0.19285064456701986,1.048050325918879,7
30Y,htboost_t,29,-0.0686752828090906,0.4751620945415309,1.0,0.19249663383206783,1.0686752828090915,12
1Y,htboost_l2,29,-0.37688721349670096,0.4765611570762738,1.0,0.2276399458101469,1.3768872134967078,9
5Y,htboost_l2,29,-0.07019301193280782,0.46651670419097885,1.0,0.21506538114613954,1.0701930119328038,7
10Y,htboost_l2,29,-0.039879611757254636,0.48249254967314964,1.0,0.20105102113118622,1.0398796117572577,10
15Y,htboost_l2,29,-0.060612906978482727,0.4586024391356075,1.0,0.19614429948638107,1.060612906978488,8
30Y,htboost_l2,29,-0.08372460203596856,0.4609992003058602,1.0,0.19362138240962212,1.083724602035972,9
1Y,xgboost,29,-0.25211069231644206,0.5232657032667164,1.0,0.21053044548642025,1.2521106923164234,6
5Y,xgboost,29,-0.08468383129509667,0.4880847410249,1.0,0.21178101438492397,1.0846838312950944,6
10Y,xgboost,29,-0.08895199437745399,0.4787042016023513,1.0,0.20644616852086264,1.0889519943774586,6
15Y,xgboost,29,-0.08339770684407141,0.4727117454653572,1.0,0.19868701509865858,1.0833977068440763,7
30Y,xgboost,29,-0.11554395105479517,0.48326696703836,1.0,0.19456846170172462,1.1155439510547938,7
1Y,OLS,29,-36.71586496337855,0.5627489481278263,1.0,0.9488690942978255,37.71586496337907,0
5Y,OLS,29,-9.117531300582295,0.48789219086607344,1.0,0.644642800509075,10.117531300582352,0
10Y,OLS,29,-12.175726560693239,0.466676619367649,1.0,0.7666153169491994,13.175726560693285,0
15Y,OLS,29,-9.491555779331943,0.46755051385108887,1.0,0.6524516973557485,10.491555779331993,0
30Y,OLS,29,-10.703762660296315,0.48282875308942497,1.0,0.6213734389313711,11.703762660296357,0
1Y,ElasticNet,29,-0.11734170992697589,0.46131757751061353,1.0,0.19278109301924654,1.1173417099269563,13
5Y,ElasticNet,29,-0.07357673963516932,0.4933199043387766,1.0,0.21383769144243525,1.073576739635165,10
10Y,ElasticNet,29,-0.0808778418921906,0.486426089391292,1.0,0.20844395101882285,1.0808778418921905,11
15Y,ElasticNet,29,-0.090809282981785,0.47565981868693874,1.0,0.20039132652313874,1.0908092829817855,7
30Y,ElasticNet,29,-0.08718130538070257,0.48136609746526227,1.0,0.1992138044283607,1.0871813053807076,12
1Y,momentum,29,-0.16843836397146794,0.5288805911638993,1.0,0.26327612909539455,1.1684383639714437,7
5Y,momentum,29,-0.12565759675677374,0.4868163176446636,1.0,0.2704717673687547,1.1256575967567772,13
10Y,momentum,29,-0.08968766573243092,0.47922000559436617,1.0,0.25732799644558974,1.0896876657324337,14
15Y,momentum,29,-0.1360654558721097,0.4687319674596409,1.0,0.25779589425680494,1.1360654558721177,10
30Y,momentum,29,-0.15532628730782458,0.4717212451437765,1.0,0.24783278837100883,1.1553262873078283,11
1Y,mean_reversion,29,-0.0186963463623672,0.37100817716809226,0.7931034482758621,0.22751355185798802,1.018696346362363,11
5Y,mean_reversion,29,-0.055477566793897586,0.36496140837260205,0.8620689655172413,0.24988057234160113,1.0554775667938963,8
10Y,mean_reversion,29,-0.2077383517242271,0.3652330440463178,0.896551724137931,0.2682792738169652,1.2077383517242255,4
15Y,mean_reversion,29,-0.3795434850772532,0.3997661856772078,0.9310344827586207,0.2914918863190287,1.3795434850772572,6
30Y,mean_reversion,29,-0.6124666554115573,0.44686920800385915,0.9655172413793104,0.2973496566218698,1.612466655411562,11
