booster,horizon,r2_pool,r2_ps,dR2,da_pool,da_ps,dDA
htb,1,-0.0360759194075813,-0.0007028979157900854,-0.035373021491791216,0.4719693339722089,0.49011739338763777,-0.018148059415428852
htb,5,-0.001965811476655663,-0.014824892980916587,0.012859081504260924,0.4718584346741503,0.4748207047084503,-0.0029622700342999964
htb,21,-0.003859002418570673,-0.029825938231108125,0.02596693581253745,0.5,0.5068932038834951,-0.006893203883495125
htb,63,-0.07949039045705414,-0.16767370988697292,0.08818331942991878,0.5248366334201346,0.4553137129661475,0.06952292045398717
htb,126,-0.26141292337892186,-0.23052956510619982,-0.03088335827272204,0.4986811327327925,0.42537202010650477,0.07330911262628775
htb,252,-0.02816894790700101,-0.3123692666430168,0.28420031873601576,0.5786889596602972,0.4688815622622369,0.10980739739806034
cat,1,-0.09712561291620456,-0.023999051109694775,-0.07312656180650978,0.46550071873502635,0.4756229036895065,-0.01012218495448014
cat,5,-0.008119921184268117,-0.038521784471775934,0.030401863287507817,0.4884627377611475,0.480823199251637,0.007639538509510491
cat,21,-0.04995032549194411,-0.11374762198656745,0.06379729649462335,0.4736893203883495,0.46689320388349514,0.006796116504854344
cat,63,-0.22741439409265823,-0.2521014748481694,0.02468708075551118,0.46484547732521003,0.4575246892350022,0.007320788090207808
cat,126,-0.8445559571394188,-0.18525284668384837,-0.6593031104555704,0.40178171502513316,0.5016174787239337,-0.09983576369880054
xgb,1,-0.020241631089752254,-0.03834756786683645,0.018105936777084195,0.47137038811691423,0.4885002395783421,-0.01712985146142787
xgb,5,-0.0028160585601431564,-0.0472422297799799,0.04442617121983674,0.4814468350483318,0.4884627377611475,-0.007015902712815714
xgb,21,-0.07378267016519789,-0.10106101669121086,0.027278346526012964,0.4784466019417476,0.4690776699029126,0.009368932038834987
xgb,63,-0.1992690344788433,-0.2549506032193885,0.055681568740545195,0.46936569547486856,0.472264531027367,-0.0028988355524984244
xgb,126,-0.5112044435199476,-0.322503614127435,-0.18870082939251265,0.4342805952321704,0.5050017419001642,-0.07072114666799384
xgb,252,-0.8932396654843163,-0.4011962697603521,-0.4920433957239642,0.4875475526249049,0.4724828810550342,0.01506467156987068
