horizon,fold,selected_depth,n_trees,sparsity_penalization
1,COVID,3,22,1.1
1,GFC,5,52,0.3
1,Hiking,6,1,0.3
1,ZIRP_early,2,42,0.3
1,ZIRP_late,2,103,0.7
5,COVID,2,16,0.3
5,GFC,8,7,0.7
5,Hiking,1,1,0.3
5,ZIRP_early,2,78,0.7
5,ZIRP_late,2,16,0.0
21,COVID,5,14,1.1
21,GFC,7,1,1.1
21,Hiking,5,1,1.5
21,ZIRP_early,3,31,0.3
21,ZIRP_late,5,4,0.0
63,COVID,2,30,0.3
63,GFC,1,6,1.5
63,Hiking,6,1,0.3
63,ZIRP_early,4,3,0.0
63,ZIRP_late,7,1,0.3
126,COVID,4,4,0.3
126,GFC,7,46,0.3
126,Hiking,6,2,0.3
126,ZIRP_early,5,2,0.3
126,ZIRP_late,5,1,0.3
252,COVID,8,1,0.0
252,GFC,1,88,0.3
252,ZIRP_early,1,9,0.3
252,ZIRP_late,5,2,0.0
