horizon,fold,tau_w
1,COVID,14.988946610841055
1,GFC,6.044010969168012
1,Hiking,11.350837549464714
1,ZIRP_early,20.728720157525675
1,ZIRP_late,15.492088751853355
5,COVID,8.42262180711431
5,GFC,1.3401562226268668
5,Hiking,1.0
5,ZIRP_early,12.303150767181673
5,ZIRP_late,28.459432779421395
21,COVID,1.1583236623968232
21,GFC,1.695171587660289
21,Hiking,1.6162116492024714
21,ZIRP_early,4.12114268354304
21,ZIRP_late,1.1378846134857952
63,COVID,2.2080573367667053
63,GFC,2.7706723071875508
63,Hiking,3.3171976980467828
63,ZIRP_early,1.8448199627924635
63,ZIRP_late,2.3264750495168025
126,COVID,1.9483607947446344
126,GFC,4.152314301008549
126,Hiking,2.498092733748133
126,ZIRP_early,1.8209913969039917
126,ZIRP_late,1.9195948892154333
252,COVID,2.1611502224779224
252,GFC,3.272704155061801
252,ZIRP_early,2.200000047683716
252,ZIRP_late,2.5670202014240147
