security,horizon,scheme,fold,use_categoricals,bucket,shap_abs,shap_share_pct
__POOL__,126,walk_forward,GFC,True,momentum,0.008312103072967147,1.4336975330057158
__POOL__,126,walk_forward,GFC,True,carry_roll,0.024037256836891174,4.146021232503052
__POOL__,126,walk_forward,GFC,True,curve,0.05879815621301532,10.141689866917504
__POOL__,126,walk_forward,GFC,True,vol,0.0008360987121704966,0.14421292066102784
__POOL__,126,walk_forward,GFC,True,macro,0.3208089686813764,55.3341342049086
__POOL__,126,walk_forward,GFC,True,credit,0.0,0.0
__POOL__,126,walk_forward,GFC,True,cross_market,0.019846216775476933,3.423137535798263
__POOL__,126,walk_forward,GFC,True,categorical,0.14712805300951004,25.377106706205836
__POOL__,126,walk_forward,ZIRP_early,True,momentum,0.010738461136213573,2.092662159441666
__POOL__,126,walk_forward,ZIRP_early,True,carry_roll,0.01505300123244524,2.933459987012091
__POOL__,126,walk_forward,ZIRP_early,True,curve,0.06302238022908568,12.281513024114297
__POOL__,126,walk_forward,ZIRP_early,True,vol,0.015677063533075852,3.05507439200907
__POOL__,126,walk_forward,ZIRP_early,True,macro,0.32417465070739127,63.17367227766302
__POOL__,126,walk_forward,ZIRP_early,True,credit,0.0,0.0
__POOL__,126,walk_forward,ZIRP_early,True,cross_market,0.02181533873499575,4.251273370275916
__POOL__,126,walk_forward,ZIRP_early,True,categorical,0.06266744458116591,12.212344789483936
__POOL__,126,walk_forward,ZIRP_late,True,momentum,6.18575832049828e-05,0.15239349385302445
__POOL__,126,walk_forward,ZIRP_late,True,carry_roll,0.00042942361324094236,1.0579360100105821
__POOL__,126,walk_forward,ZIRP_late,True,curve,0.006776005400752183,16.693493083389782
__POOL__,126,walk_forward,ZIRP_late,True,vol,0.0,0.0
__POOL__,126,walk_forward,ZIRP_late,True,macro,0.027715009200619534,68.27921275642252
__POOL__,126,walk_forward,ZIRP_late,True,credit,0.0,0.0
__POOL__,126,walk_forward,ZIRP_late,True,cross_market,2.298059769145766e-07,0.0005661542840150724
__POOL__,126,walk_forward,ZIRP_late,True,categorical,0.005608172621577978,13.816398502040075
__POOL__,126,walk_forward,COVID,True,momentum,0.010059385502245277,2.2030179421438474
__POOL__,126,walk_forward,COVID,True,carry_roll,0.007648136466741562,1.6749514029893358
__POOL__,126,walk_forward,COVID,True,curve,0.0824576229788363,18.058322036506425
__POOL__,126,walk_forward,COVID,True,vol,0.003495701588690281,0.765562997714576
__POOL__,126,walk_forward,COVID,True,macro,0.24392085440922529,53.4189706326137
__POOL__,126,walk_forward,COVID,True,credit,0.0,0.0
__POOL__,126,walk_forward,COVID,True,cross_market,0.0417361781001091,9.140274937323856
__POOL__,126,walk_forward,COVID,True,categorical,0.0673005310818553,14.738900050708263
__POOL__,126,walk_forward,Hiking,True,momentum,0.0,0.0
__POOL__,126,walk_forward,Hiking,True,carry_roll,0.0,0.0
__POOL__,126,walk_forward,Hiking,True,curve,0.013914684299379587,14.21001187168461
__POOL__,126,walk_forward,Hiking,True,vol,0.0,0.0
__POOL__,126,walk_forward,Hiking,True,macro,0.06749357981607318,68.92607477207767
__POOL__,126,walk_forward,Hiking,True,credit,0.0,0.0
__POOL__,126,walk_forward,Hiking,True,cross_market,0.0,0.0
__POOL__,126,walk_forward,Hiking,True,categorical,0.016513429582118988,16.863913356237717
